Threshold,Sensitivity_Percent,Specificity_Percent,PPV_Percent,NPV_Percent,F1_Percent,Accuracy_Percent
0.7,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.71,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.72,87.6623376623377,97.6415094339623,96.4285714285714,91.5929203539823,91.8367346938776,93.4426229508197
0.73,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.74,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.75,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.76,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.77,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.78,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.79,87.012987012987,97.6415094339623,96.4028776978417,91.1894273127753,91.4675767918089,93.1693989071038
0.8,86.3636363636364,97.6415094339623,96.3768115942029,90.7894736842105,91.0958904109589,92.896174863388
0.81,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.82,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.83,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.84,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.85,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.86,85.7142857142857,97.6415094339623,96.3503649635037,90.3930131004367,90.7216494845361,92.6229508196721
0.87,85.0649350649351,97.6415094339623,96.3235294117647,90,90.3448275862069,92.3497267759563
0.88,84.4155844155844,97.6415094339623,96.2962962962963,89.6103896103896,89.9653979238754,92.0765027322404
0.89,84.4155844155844,97.6415094339623,96.2962962962963,89.6103896103896,89.9653979238754,92.0765027322404
0.9,84.4155844155844,97.6415094339623,96.2962962962963,89.6103896103896,89.9653979238754,92.0765027322404
0.91,84.4155844155844,97.6415094339623,96.2962962962963,89.6103896103896,89.9653979238754,92.0765027322404
0.92,83.7662337662338,97.6415094339623,96.2686567164179,89.2241379310345,89.5833333333333,91.8032786885246
0.93,83.7662337662338,97.6415094339623,96.2686567164179,89.2241379310345,89.5833333333333,91.8032786885246
0.94,83.1168831168831,97.6415094339623,96.2406015037594,88.8412017167382,89.198606271777,91.5300546448087
0.95,82.4675324675325,97.6415094339623,96.2121212121212,88.4615384615385,88.8111888111888,91.2568306010929
0.96,81.8181818181818,97.6415094339623,96.1832061068702,88.0851063829787,88.4210526315789,90.983606557377
